estacion,fecha,fecha_diff,precipitacion,temperatura,humedad_relativa,vientos,vi
Bolpebra - PD,2026-09-07 11:00:00,90,0.0,22,36,300,1.6
Bolpebra - PD,2026-09-07 11:00:00,93,0.0,25,36,310,1.8
Bolpebra - PD,2026-09-07 11:00:00,96,0.0,28,37,320,2.2
Bolpebra - PD,2026-09-07 11:00:00,99,0.0,31,36,320,2.6
Bolpebra - PD,2026-09-07 11:00:00,102,0.0,31,36,346,2.0
Bolpebra - PD,2026-09-07 11:00:00,105,0.0,26,36,6,1.4
Bolpebra - PD,2026-09-07 11:00:00,108,0.0,22,36,360,1.4
Bolpebra - PD,2026-09-07 11:00:00,111,0.0,22,36,350,1.3
Bulo Bulo,2026-09-07 11:00:00,3,0.0,28,36,2,1.5
Bulo Bulo,2026-09-07 11:00:00,6,0.0,28,36,89,1.4
Bulo Bulo,2026-09-07 11:00:00,9,0.0,25,36,168,1.3
Bulo Bulo,2026-09-07 11:00:00,12,0.0,23,36,178,1.3
Bulo Bulo,2026-09-07 11:00:00,15,0.0,18,37,188,1.2
Bulo Bulo,2026-09-07 11:00:00,18,0.0,18,36,242,0.6
Bulo Bulo,2026-09-07 11:00:00,21,0.0,23,37,272,0.4
Bulo Bulo,2026-09-07 11:00:00,24,0.0,25,36,292,2.0
Bulo Bulo,2026-09-07 11:00:00,27,0.0,30,37,310,3.5
Bulo Bulo,2026-09-07 11:00:00,30,0.0,30,36,282,2.7
Bulo Bulo,2026-09-07 11:00:00,33,0.0,25,36,244,1.8
Bulo Bulo,2026-09-07 11:00:00,36,0.0,23,36,244,1.5
Bulo Bulo,2026-09-07 11:00:00,39,0.0,19,36,244,1.3
Bulo Bulo,2026-09-07 11:00:00,42,0.0,19,36,264,1.0
Bulo Bulo,2026-09-07 11:00:00,45,0.0,24,36,286,0.8
Bulo Bulo,2026-09-07 11:00:00,48,0.0,26,35,302,2.5
Bulo Bulo,2026-09-07 11:00:00,51,0.0,32,36,310,4.3
Bulo Bulo,2026-09-07 11:00:00,54,0.0,32,36,282,3.0
Bulo Bulo,2026-09-07 11:00:00,57,0.0,25,36,244,1.8
Bulo Bulo,2026-09-07 11:00:00,60,0.0,21,36,267,1.4
Bulo Bulo,2026-09-07 11:00:00,63,0.0,19,56,280,0.9
Bulo Bulo,2026-09-07 11:00:00,66,0.0,19,56,334,0.9
Bulo Bulo,2026-09-07 11:00:00,69,0.0,25,56,8,0.9
Bulo Bulo,2026-09-07 11:00:00,72,0.0,30,56,348,1.7
Bulo Bulo,2026-09-07 11:00:00,75,0.0,31,56,318,2.5
Bulo Bulo,2026-09-07 11:00:00,78,0.0,31,57,300,2.3
Bulo Bulo,2026-09-07 11:00:00,81,1.2,21,89,272,2.0
Bulo Bulo,2026-09-07 11:00:00,84,1.2,19,89,282,1.8
Bulo Bulo,2026-09-07 11:00:00,87,0.0,19,36,284,1.6
Bulo Bulo,2026-09-07 11:00:00,90,0.0,26,35,262,1.8
Bulo Bulo,2026-09-07 11:00:00,93,0.0,28,35,282,1.7
Bulo Bulo,2026-09-07 11:00:00,96,0.0,33,35,292,3.0
