estacion,fecha,fecha_diff,humedad_relativa,precipitacion,temperatura,vi,vientos
Potosí Aeropuerto,2026-07-20 08:00:00,12,36.0,0.0,11.0,4.2,330.0
Potosí Aeropuerto,2026-07-20 08:00:00,15,37.0,0.0,4.0,3.6,310.0
Potosí Aeropuerto,2026-07-20 08:00:00,18,27.0,0.0,-2.0,3.0,290.0
Potosí Aeropuerto,2026-07-20 08:00:00,21,26.0,0.0,-2.0,2.8,299.0
Potosí Aeropuerto,2026-07-20 08:00:00,24,26.0,0.0,4.0,2.6,310.0
Potosí Aeropuerto,2026-07-20 08:00:00,27,26.0,0.0,10.0,5.6,300.0
Potosí Aeropuerto,2026-07-20 08:00:00,30,36.0,0.0,20.0,8.5,290.0
Potosí Aeropuerto,2026-07-20 08:00:00,33,36.0,0.0,20.0,5.9,310.0
Potosí Aeropuerto,2026-07-20 08:00:00,36,26.0,0.0,12.0,3.3,330.0
Potosí Aeropuerto,2026-07-20 08:00:00,39,26.0,0.0,5.0,3.2,320.0
Potosí Aeropuerto,2026-07-20 08:00:00,42,26.0,0.0,-2.0,3.1,310.0
Potosí Aeropuerto,2026-07-20 08:00:00,45,26.0,0.0,-2.0,3.3,281.0
Potosí Aeropuerto,2026-07-20 08:00:00,48,27.0,0.0,6.0,1.6,281.0
Potosí Aeropuerto,2026-07-20 08:00:00,51,27.0,0.0,12.0,6.8,281.0
Potosí Aeropuerto,2026-07-20 08:00:00,54,26.0,0.0,20.0,12.2,280.0
Potosí Aeropuerto,2026-07-20 08:00:00,57,26.0,0.0,20.0,8.1,280.0
Potosí Aeropuerto,2026-07-20 08:00:00,60,25.0,0.0,15.0,4.0,271.0
Potosí Aeropuerto,2026-07-20 08:00:00,63,25.0,0.0,7.0,3.7,282.0
Potosí Aeropuerto,2026-07-20 08:00:00,66,25.0,0.0,-3.0,3.2,292.0
Potosí Aeropuerto,2026-07-20 08:00:00,69,26.0,0.0,-3.0,3.2,310.0
Potosí Aeropuerto,2026-07-20 08:00:00,72,25.0,0.0,7.0,2.5,311.0
Potosí Aeropuerto,2026-07-20 08:00:00,75,25.0,0.0,12.0,5.0,300.0
Potosí Aeropuerto,2026-07-20 08:00:00,78,27.0,0.0,21.0,7.5,280.0
Potosí Aeropuerto,2026-07-20 08:00:00,81,27.0,0.0,21.0,5.8,290.0
Potosí Aeropuerto,2026-07-20 08:00:00,84,26.0,0.0,4.0,4.0,300.0
Potosí Aeropuerto,2026-07-20 08:00:00,87,27.0,0.0,-3.0,3.5,291.0
Potosí Aeropuerto,2026-07-20 08:00:00,90,25.0,0.0,-3.0,3.1,281.0
Potosí Aeropuerto,2026-07-20 12:00:00,26,26.0,,18.0,,
Potosí Aeropuerto,2026-07-20 12:00:00,29,26.0,,18.0,,
Potosí Aeropuerto,2026-07-20 12:00:00,38,,,-3.0,,
Potosí Aeropuerto,2026-07-20 12:00:00,41,,,-3.0,,
Potosí Aeropuerto,2026-07-20 12:00:00,50,,,19.0,,
Potosí Aeropuerto,2026-07-20 12:00:00,53,,,19.0,,
Potosí Aeropuerto,2026-07-20 12:00:00,56,,,14.0,,
